2022-07-24 19:01:45.500,Mode 3 access,100.00," gX: 0.18"," gY: 0.56"," gZ: 0.09",," Gain*gyroY: 56",
2022-07-24 19:01:45.512,Mode 3 access,100.00," gX: 0.15"," gY: 0.57"," gZ: 0.08",," Gain*gyroY: 56",
2022-07-24 19:01:45.528,Mode 3 access,100.00," gX: 0.14"," gY: 0.52"," gZ: 0.08",," Gain*gyroY: 51",
2022-07-24 19:01:45.544,Mode 3 access,100.00," gX: 0.10"," gY: 0.56"," gZ: 0.08",," Gain*gyroY: 55",
2022-07-24 19:01:45.561,Mode 3 access,100.00," gX: 0.10"," gY: 0.45"," gZ: 0.07",," Gain*gyroY: 45",
2022-07-24 19:01:45.577,Mode 3 access,100.00," gX: 0.10"," gY: 0.45"," gZ: 0.07",," Gain*gyroY: 45",
2022-07-24 19:01:45.593,Mode 3 access,100.00," gX: 0.10"," gY: 0.49"," gZ: 0.07",," Gain*gyroY: 49",
2022-07-24 19:01:45.610,Mode 3 access,100.00," gX: 0.11"," gY: 0.53"," gZ: 0.10",," Gain*gyroY: 52",
2022-07-24 19:01:45.627,Mode 3 access,100.00," gX: 0.12"," gY: 0.42"," gZ: 0.09",," Gain*gyroY: 41",
2022-07-24 19:01:45.642,Mode 3 access,100.00," gX: 0.13"," gY: 0.40"," gZ: 0.10",," Gain*gyroY: 39",
2022-07-24 19:01:45.659,Mode 3 access,100.00," gX: 0.13"," gY: 0.40"," gZ: 0.10",," Gain*gyroY: 39",
2022-07-24 19:01:45.675,Mode 3 access,100.00," gX: 0.10"," gY: 0.52"," gZ: 0.10",," Gain*gyroY: 51",
2022-07-24 19:01:45.688,Mode 3 access,100.00," gX: 0.09"," gY: 0.46"," gZ: 0.08",," Gain*gyroY: 46",
2022-07-24 19:01:45.704,Mode 3 access,100.00," gX: 0.08"," gY: 0.42"," gZ: 0.05",," Gain*gyroY: 41",
