2022-07-24 19:44:04.847,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.864,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.880,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.896,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.913,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.929,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.942,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.958,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.975,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.987,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.003,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.015,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.032,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.048,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.01",,,
2022-07-24 19:44:05.060,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.01",,,
2022-07-24 19:44:05.077,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.01",,,
2022-07-24 19:44:05.094,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.106,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.122,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.138,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:44:05.155,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.167,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.183,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.200,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.211,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.228,Mode 3 access,125.00," gX: 0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.245,Mode 3 access,125.00," gX: 0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.256,Mode 3 access,125.00," gX: 0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.274,Mode 3 access,125.00," gX: 0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.290,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.302,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:05.319,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.335,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.347,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.363,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.380,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.392,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:05.409,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:05.425,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:05.437,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:05.454,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:05.470,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:05.482,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:05.499,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:05.515,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.527,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.544,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.560,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.573,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.589,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
