2022-07-24 19:50:20.687,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.703,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:20.720,Mode 3 access,125.00," gX: 0.00"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:50:20.735,Mode 3 access,125.00," gX: 0.00"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:50:20.748,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.01",," Gain*gyroY: 0",
2022-07-24 19:50:20.764,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:20.781,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:50:20.797,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:50:20.810,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:50:20.826,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:20.843,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.859,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.875,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.892,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:20.908,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:20.924,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:20.936,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.953,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.969,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:20.986,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:21.002,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:21.019,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:21.035,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:21.052,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.01",,,
2022-07-24 19:50:21.063,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:21.080,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.096,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.113,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.129,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: -0.01",,,
2022-07-24 19:50:21.146,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.01",,,
2022-07-24 19:50:21.158,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.01",,,
2022-07-24 19:50:21.175,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.01",,,
2022-07-24 19:50:21.191,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:21.207,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:21.223,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.236,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.252,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:21.269,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:21.285,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:21.301,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.318,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.334,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.351,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.367,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.383,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.400,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.412,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.428,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.445,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.461,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:21.477,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:21.494,Mode 3 access,125.00," gX: 0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.510,Mode 3 access,125.00," gX: 0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:21.527,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:21.543,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.560,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:21.572,Mode 3 access,125.00," gX: 0.01"," gY: 0.02"," gZ: 0.00",," Gain*gyroY: 2",
2022-07-24 19:50:21.588,Mode 3 access,125.00," gX: 0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:21.604,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:21.621,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:21.637,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:21.654,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:21.670,Mode 3 access,125.00," gX: 0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:21.686,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:21.703,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:21.719,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:21.736,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:21.746,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:21.763,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:50:21.780,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.796,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.809,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:50:21.826,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:50:21.842,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.854,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.871,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:50:21.887,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:50:21.899,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.915,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.932,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.944,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.961,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.977,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:21.989,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:22.006,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:50:22.022,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:50:22.034,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:50:22.051,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:50:22.067,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:50:22.080,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:50:22.096,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:50:22.113,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:50:22.125,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:50:22.141,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:50:22.157,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:50:22.170,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
