2022-07-24 20:07:07.861,Mode 3 access,125.00," gX: -0.05"," gY: 0.45"," gZ: 0.12",," Gain*gyroY: 56",
2022-07-24 20:07:07.877,Mode 3 access,125.00," gX: -0.03"," gY: 0.47"," gZ: 0.13",," Gain*gyroY: 58",
2022-07-24 20:07:07.894,Mode 3 access,125.00," gX: -0.02"," gY: 0.48"," gZ: 0.13",," Gain*gyroY: 60",
2022-07-24 20:07:07.909,Mode 3 access,125.00," gX: -0.02"," gY: 0.48"," gZ: 0.13",," Gain*gyroY: 60",
2022-07-24 20:07:07.926,Mode 3 access,125.00," gX: -0.02"," gY: 0.45"," gZ: 0.14",," Gain*gyroY: 55",
2022-07-24 20:07:07.942,Mode 3 access,125.00," gX: -0.02"," gY: 0.45"," gZ: 0.14",," Gain*gyroY: 55",
2022-07-24 20:07:07.959,Mode 3 access,125.00," gX: -0.04"," gY: 0.46"," gZ: 0.14",," Gain*gyroY: 57",
2022-07-24 20:07:07.971,Mode 3 access,125.00," gX: -0.03"," gY: 0.52"," gZ: 0.14",," Gain*gyroY: 64",
2022-07-24 20:07:07.987,Mode 3 access,125.00," gX: -0.02"," gY: 0.51"," gZ: 0.14",," Gain*gyroY: 64",
2022-07-24 20:07:08.003,Mode 3 access,125.00," gX: -0.05"," gY: 0.51"," gZ: 0.13",," Gain*gyroY: 63",
2022-07-24 20:07:08.019,Mode 3 access,125.00," gX: -0.05"," gY: 0.51"," gZ: 0.13",," Gain*gyroY: 63",
2022-07-24 20:07:08.037,Mode 3 access,125.00," gX: -0.06"," gY: 0.53"," gZ: 0.12",," Gain*gyroY: 65",
2022-07-24 20:07:08.053,Mode 3 access,125.00," gX: -0.05"," gY: 0.56"," gZ: 0.10",," Gain*gyroY: 69",
2022-07-24 20:07:08.069,Mode 3 access,125.00," gX: -0.04"," gY: 0.57"," gZ: 0.08",," Gain*gyroY: 71",
2022-07-24 20:07:08.085,Mode 3 access,125.00," gX: -0.03"," gY: 0.66"," gZ: 0.08",," Gain*gyroY: 82",
2022-07-24 20:07:08.102,Mode 3 access,125.00," gX: -0.03"," gY: 0.66"," gZ: 0.08",," Gain*gyroY: 82",
2022-07-24 20:07:08.119,Mode 3 access,125.00," gX: 0.01"," gY: 0.65"," gZ: 0.08",," Gain*gyroY: 81",
2022-07-24 20:07:08.131,Mode 3 access,125.00," gX: 0.03"," gY: 0.66"," gZ: 0.12",," Gain*gyroY: 82",
2022-07-24 20:07:08.147,Mode 3 access,125.00," gX: 0.04"," gY: 0.73"," gZ: 0.15",," Gain*gyroY: 90",
2022-07-24 20:07:08.164,Mode 3 access,125.00," gX: 0.07"," gY: 0.68"," gZ: 0.17",," Gain*gyroY: 84",
2022-07-24 20:07:08.180,Mode 3 access,125.00," gX: 0.07"," gY: 0.68"," gZ: 0.17",," Gain*gyroY: 84",
2022-07-24 20:07:08.196,Mode 3 access,125.00," gX: 0.11"," gY: 0.58"," gZ: 0.17",," Gain*gyroY: 72",
2022-07-24 20:07:08.213,Mode 3 access,125.00," gX: 0.11"," gY: 0.61"," gZ: 0.17",," Gain*gyroY: 76",
2022-07-24 20:07:08.229,Mode 3 access,125.00," gX: 0.10"," gY: 0.64"," gZ: 0.17",," Gain*gyroY: 80",
2022-07-24 20:07:08.246,Mode 3 access,125.00," gX: 0.08"," gY: 0.73"," gZ: 0.16",," Gain*gyroY: 90",
2022-07-24 20:07:08.262,Mode 3 access,125.00," gX: 0.08"," gY: 0.73"," gZ: 0.16",," Gain*gyroY: 90",
2022-07-24 20:07:08.279,Mode 3 access,125.00," gX: 0.04"," gY: 0.73"," gZ: 0.14",," Gain*gyroY: 91",
2022-07-24 20:07:08.294,Mode 3 access,125.00," gX: 0.02"," gY: 0.73"," gZ: 0.14",," Gain*gyroY: 91",
2022-07-24 20:07:08.307,Mode 3 access,125.00," gX: 0.03"," gY: 0.74"," gZ: 0.14",," Gain*gyroY: 92",
2022-07-24 20:07:08.324,Mode 3 access,125.00," gX: 0.03"," gY: 0.77"," gZ: 0.15",," Gain*gyroY: 96",
2022-07-24 20:07:08.340,Mode 3 access,125.00," gX: 0.03"," gY: 0.77"," gZ: 0.15",," Gain*gyroY: 96",
2022-07-24 20:07:08.356,Mode 3 access,125.00," gX: 0.01"," gY: 0.86"," gZ: 0.16",," Gain*gyroY: 107",
